model_name,selection_score,cv_accuracy,cv_precision_macro,cv_recall_macro,cv_f1_macro,cv_f1_weighted,cv_quadratic_weighted_kappa,cv_ordinal_mae,cv_log_loss,cv_roc_auc_ovr_weighted,cv_pr_auc_ovr_weighted,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,val_quadratic_weighted_kappa,val_ordinal_mae,val_log_loss,val_roc_auc_ovr_weighted,val_pr_auc_ovr_weighted
xgboost,0.9848337219118694,0.7565977647415562,0.6265405754871778,0.6452908364714891,0.6317669763920285,0.7399892217509528,0.7934214408878719,0.3271381958686112,0.48594871015011415,0.9381992488287366,0.8341307668979031,0.7571293418029463,0.6199583542241812,0.6392501717318712,0.6240201114480678,0.7387881817967614,0.799420716773217,0.32423300446006215,0.4848862632103303,0.9395634738634632,0.8334839808033133
lightgbm,0.9795037221612094,0.7546378817469194,0.6337160645951257,0.6449772902022769,0.6324640330939822,0.7388593590023694,0.789351418855258,0.33088905550698144,0.519971922104041,0.9372000434800972,0.8308762841955035,0.7523989728341668,0.6493180827472328,0.6398165629420126,0.6266393672643039,0.7356885919254306,0.7912083691178097,0.3330179754020814,0.5238025149403768,0.9383516079400397,0.8319316331993633
random_forest,0.9652002192788828,0.7572399123775183,0.6329176310996449,0.6432721048438211,0.6228173030898384,0.7291628050042771,0.7943807543151937,0.3278139377404641,0.6328134548368057,0.9342210051823456,0.8212711511542036,0.7511825922421949,0.624254647307731,0.6352443605220112,0.6131208282761632,0.7215961974656573,0.7957172896632098,0.3327476686038654,0.6311725235242296,0.9343394188944558,0.8217811375987865
logistic_regression,0.8399699798616913,0.6575204090035703,0.5540955226507528,0.559880428803461,0.5361747235457565,0.6284905216879454,0.7065228776979927,0.4837626181347625,0.8068029302012093,0.8799267366825984,0.6624220949587002,0.6602243546425193,0.551856020119302,0.559388541516949,0.5313134851256628,0.6277625052568465,0.7288845827580855,0.46290039194485744,0.8038268843951759,0.8836107582682818,0.6734196599927474
